Transaction ID,Date,Customer ID,Gender,Age,Product Category,Product,Quantity,Price per Unit,Total Amount,Region,Payment Method
5726,2023-01-01,CUST_00603,Male,49,Food,Green Tea,3,37.37,112.11,East,Credit Card
5777,2023-01-01,CUST_00435,Male,40,Home & Kitchen,Pillow,1,215.29,215.29,West,Debit Card
9507,2023-01-01,CUST_00746,Female,32,Home & Kitchen,Cookware Set,2,28.03,56.06,North,Cash
10908,2023-01-01,CUST_01421,Female,32,Home & Kitchen,Bedsheet,1,73.03,73.03,West,Cash
8264,2023-01-01,CUST_01674,Male,42,Home & Kitchen,Bedsheet,2,16.79,33.58,East,UPI
3605,2023-01-01,CUST_01838,Female,53,Clothing,Formal Shirt,1,73.2,73.2,East,Credit Card
8733,2023-01-01,CUST_01265,Female,42,Electronics,Bluetooth Speaker,3,368.72,1106.16,North,Debit Card
10188,2023-01-01,CUST_00383,Male,23,Clothing,Sneakers,3,53.28,159.84,West,Credit Card
5152,2023-01-01,CUST_01278,Male,39,Sports,Cricket Bat,1,134.05,134.05,West,Credit Card
3903,2023-01-01,CUST_00083,Female,28,Electronics,Smartphone,2,402.86,805.72,West,Credit Card
4627,2023-01-01,CUST_01004,Male,35,Home & Kitchen,Storage Container,1,245.82,245.82,North,Debit Card
8796,2023-01-01,CUST_01780,Female,64,Food,Mixed Nuts,2,31.66,63.32,East,Debit Card
9126,2023-01-01,CUST_01809,Female,67,Clothing,Sneakers,6,77.68,466.08,West,Debit Card
8008,2023-01-01,CUST_00892,Female,46,Clothing,Jacket,1,100.06,100.06,South,Debit Card
3715,2023-01-02,CUST_01621,Female,51,Home & Kitchen,Table Lamp,3,109.95,329.85,East,Credit Card
5979,2023-01-02,CUST_00533,Male,50,Electronics,Bluetooth Speaker,3,171.1,513.3,West,Debit Card
8583,2023-01-02,CUST_01231,Female,69,Beauty,Perfume,2,93.04,186.08,South,UPI
3912,2023-01-02,CUST_00083,Female,28,Clothing,Dress,3,119.48,358.44,West,UPI
5130,2023-01-02,CUST_00051,Female,51,Beauty,Eye Shadow,3,58.88,176.64,North,Debit Card
10439,2023-01-02,CUST_00053,Male,32,Clothing,Shorts,1,124.11,124.11,East,Cash
3328,2023-01-02,CUST_00122,Male,60,Clothing,Shorts,1,124.94,124.94,North,UPI
7755,2023-01-02,CUST_01709,Female,65,Beauty,Lipstick,2,80.74,161.48,East,Credit Card
8915,2023-01-03,CUST_00747,Female,70,Sports,Dumbbells,3,51.51,154.53,West,Cash
4218,2023-01-03,CUST_01718,Female,62,Beauty,Eye Shadow,6,77.34,464.04,East,Credit Card
9481,2023-01-04,CUST_01322,Male,59,Food,Protein Bar,2,33.29,66.58,North,Credit Card
10707,2023-01-04,CUST_01960,Male,28,Clothing,Jeans,1,80.24,80.24,North,UPI
2922,2023-01-04,CUST_01769,Male,26,Clothing,Hoodie,4,21.18,84.72,North,UPI
10934,2023-01-04,CUST_00667,Female,19,Home & Kitchen,Blender,2,58.36,116.72,East,Debit Card
